scan_id,focus_x,focus_y,focus_z,condition,max_response_raw,mean_response_raw,sigma_mm,n_elements,physics_level
83,-21.330000000000005,186.87499999999994,-51.79999999999998,A_PA1_to_C1,0.8106038013998084,0.008048495146481021,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
84,-19.964999999999996,187.03000000000006,-51.79999999999998,A_PA1_to_C1,0.8131319797246489,0.008011739940534876,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
85,-18.590000000000003,187.17000000000002,-51.79999999999998,A_PA1_to_C1,0.8127596643983152,0.007937388062495354,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
86,-17.215,187.30499999999995,-51.79999999999998,A_PA1_to_C1,0.8084123670632503,0.007882018241805825,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
87,-15.845,187.425,-51.79999999999998,A_PA1_to_C1,0.8012258645959166,0.007820129906268708,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
88,-14.470000000000004,187.53500000000005,-51.79999999999998,A_PA1_to_C1,0.7925132216644946,0.0077393256547910495,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
89,-13.095000000000004,187.63499999999993,-51.79999999999998,A_PA1_to_C1,0.7907395080107565,0.007635582439183889,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
90,-11.714999999999998,187.735,-51.79999999999998,A_PA1_to_C1,0.7863879806779092,0.00754307346452418,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
91,-10.339999999999998,187.81500000000003,-51.79999999999998,A_PA1_to_C1,0.7777969772047144,0.007439469040034185,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
92,-8.96,187.88500000000008,-51.79999999999998,A_PA1_to_C1,0.7630620780161488,0.007309560892109077,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
93,-7.584999999999997,187.94499999999996,-51.79999999999998,A_PA1_to_C1,0.7419052834319158,0.007190127330889662,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
94,-6.204999999999999,187.995,-51.79999999999998,A_PA1_to_C1,0.7158660783123801,0.007085993813606201,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
95,-4.825000000000002,188.03499999999997,-51.79999999999998,A_PA1_to_C1,0.6852985057256197,0.006982121957452454,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
96,-3.450000000000001,188.065,-51.79999999999998,A_PA1_to_C1,0.6507859907102681,0.0068535007139496635,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
97,-2.0700000000000003,188.08999999999997,-51.79999999999998,A_PA1_to_C1,0.6282362454005395,0.006721771693497464,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
98,-0.69,188.10000000000005,-51.79999999999998,A_PA1_to_C1,0.6096468403297779,0.006614058928644371,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
99,0.69,188.10000000000005,-51.79999999999998,A_PA1_to_C1,0.595939962635458,0.006514248008048122,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
100,2.0700000000000003,188.08999999999997,-51.79999999999998,A_PA1_to_C1,0.543224557841932,0.006403668323929407,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
101,3.450000000000001,188.065,-51.79999999999998,A_PA1_to_C1,0.5286630292445298,0.006282767446259421,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
